R-OTE
FrameNum,Time,Value,Ref1,Ref2,Ref3
299,[19:00:02.6100],2847.500000,4724.000000,5143.166667,4216.384615
300,[19:00:02.9100],1481.000000,5628.000000,6876.000000,3163.363636
301,[19:00:03.2100],2420.153846,4134.000000,6745.000000,4291.636364
302,[19:00:03.5100],2305.000000,4496.000000,5531.000000,3295.000000
303,[19:00:03.8100],2227.000000,3905.333333,5901.923077,3304.000000
304,[19:00:04.1100],2286.000000,3820.000000,7761.444444,5011.000000
305,[19:00:04.4100],1687.000000,2938.000000,4890.000000,3445.000000
306,[19:00:04.7100],1989.000000,3218.846154,4578.461538,3261.000000
307,[19:00:05.0110],1672.615385,2980.000000,3987.000000,3266.000000
308,[19:00:05.3080],2086.000000,4111.000000,5341.384615,3278.000000
309,[19:00:05.6080],1460.666667,3094.461538,4050.000000,2354.500000
310,[19:00:05.9080],3004.200000,3422.500000,4699.000000,2742.000000
311,[19:00:06.2080],1635.000000,4143.166667,6658.000000,4184.000000
312,[19:00:06.5080],1638.000000,5908.000000,6270.000000,4924.727273
313,[19:00:06.8080],2554.333333,4121.692308,5674.230769,2848.461538
314,[19:00:07.1080],2148.000000,4944.230769,6298.000000,3629.000000
315,[19:00:07.4080],2132.000000,4749.307692,7229.000000,4083.923077
316,[19:00:07.7080],1309.615385,3174.000000,4218.000000,2290.384615
317,[19:00:08.0080],1399.000000,4286.769231,5771.500000,2842.000000
318,[19:00:08.3080],1462.230769,3475.000000,5904.000000,3028.000000
319,[19:00:08.6080],1823.000000,3660.000000,6611.166667,2825.000000
320,[19:00:08.9080],2166.000000,4885.000000,6900.000000,4035.000000
321,[19:00:09.2080],1530.000000,4146.000000,5566.307692,2776.000000
322,[19:00:09.5080],2156.454545,3055.000000,5819.769231,2870.000000
323,[19:00:09.8080],907.538462,3508.727273,5046.230769,2515.000000
324,[19:00:10.1080],1469.692308,3357.000000,5523.166667,3635.000000
325,[19:00:10.4080],2184.363636,3303.000000,4191.000000,3196.538462
326,[19:00:10.7080],2475.846154,3436.000000,5650.000000,2574.769231
327,[19:00:11.0160],2336.000000,1977.000000,5274.000000,2681.000000
328,[19:00:11.3100],1492.000000,3223.000000,5363.333333,2369.461538
329,[19:00:11.6100],2229.333333,3577.076923,5722.000000,3027.307692
330,[19:00:11.9100],1855.166667,2289.000000,3541.384615,1685.000000
331,[19:00:12.2100],1860.500000,3542.600000,5244.333333,2753.166667
332,[19:00:12.5100],1371.000000,3895.000000,4889.000000,3316.000000
333,[19:00:12.8100],2036.363636,4390.166667,4885.000000,3761.923077
334,[19:00:13.1100],1898.000000,4266.909091,5304.272727,3020.000000
335,[19:00:13.4100],1441.076923,3190.000000,5512.000000,3123.000000
336,[19:00:13.7100],1906.000000,4940.769231,6090.000000,3489.230769
337,[19:00:14.0100],2370.846154,4839.000000,5277.384615,3445.000000
338,[19:00:14.3100],2042.333333,4323.000000,5205.000000,1897.166667
339,[19:00:14.6110],1933.000000,4559.000000,5303.000000,4167.000000
